,eng_version,Source,Genres
5683,Steins;Gate,Visual novel,"Thriller, Sci-Fi"
6474,Hunter x Hunter,Manga,"Action, Adventure, Fantasy, Shounen, Super Power"
9886,A Silent Voice,Manga,"Drama, School, Shounen"
11308,Your Name.,Original,"Romance, Supernatural, School, Drama"
2656,Code Geass:Lelouch of the Rebellion R2,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha"
176,Spirited Away,Original,"Adventure, Supernatural, Drama"
8883,Your Lie in April,Manga,"Drama, Music, Romance, School, Shounen"
1431,Code Geass:Lelouch of the Rebellion,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School"
142,Princess Mononoke,Original,"Action, Adventure, Fantasy"
404,Howl's Moving Castle,Novel,"Adventure, Drama, Fantasy, Romance"
1822,Gurren Lagann,Original,"Action, Adventure, Comedy, Mecha, Sci-Fi"
11857,Violet Evergarden,Light novel,"Slice of Life, Drama, Fantasy"
1393,Death Note,Manga,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen"
14631,Demon Slayer:Kimetsu no Yaiba,Manga,"Action, Demons, Historical, Shounen, Supernatural"
6607,Fate/Zero Season 2,Light novel,"Action, Supernatural, Magic, Fantasy"
10451,One Punch Man,Web manga,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural"
10610,Assassination Classroom Second Season,Manga,"Action, Comedy, School, Shounen"
11,One Piece,Manga,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
182,Samurai Champloo,Original,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
11260,Mob Psycho 100,Web manga,"Action, Slice of Life, Comedy, Supernatural"
7449,Attack on Titan,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
15672,My Teen Romantic Comedy SNAFU Climax!,Light novel,"Slice of Life, Comedy, Drama, Romance, School"
6092,Bunny Drop,Manga,"Slice of Life, Josei"
14630,Kaguya-sama:Love is War,Manga,"Comedy, Psychological, Romance, School, Seinen"
6016,anohana:The Flower We Saw That Day,Original,"Slice of Life, Supernatural, Drama"
15158,Weathering With You,Original,"Slice of Life, Drama, Romance, Fantasy"
537,Nausicaä of the Valley of the Wind,Manga,"Adventure, Fantasy"
8704,Parasyte -the maxim-,Manga,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
708,Hellsing Ultimate,Manga,"Action, Military, Horror, Supernatural, Vampire, Seinen"
15663,Mushoku Tensei:Jobless Reincarnation,Light novel,"Drama, Magic, Fantasy"
4128,Erin,Novel,"Drama, Fantasy, Slice of Life"
6061,Fate/Zero,Light novel,"Action, Supernatural, Magic, Fantasy"
490,My Neighbor Totoro,Original,"Adventure, Comedy, Supernatural"
11626,KonoSuba:God's Blessing on This Wonderful World! 2,Light novel,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy"
10876,Re:ZERO -Starting Life in Another World-,Light novel,"Psychological, Drama, Thriller, Fantasy"
9732,Food Wars! Shokugeki no Soma,Manga,"Ecchi, School, Shounen"
9032,My Teen Romantic Comedy SNAFU TOO!,Light novel,"Slice of Life, Comedy, Drama, Romance, School"
3564,Toradora!,Light novel,"Slice of Life, Comedy, Romance, School"
479,Kiki's Delivery Service,Novel,"Adventure, Comedy, Drama, Magic, Romance, Fantasy"
548,Whisper of the Heart,Manga,"Slice of Life, Drama, Romance, Shoujo"
7492,The Tale of the Princess Kaguya,Other,"Fantasy, Historical"
4758,InuYasha:The Final Act,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
348,Card Captor Sakura Movie 2:The Sealed Card,Manga,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo"
10573,Noragami Aragoto,Manga,"Action, Adventure, Comedy, Supernatural, Shounen"
11309,Food Wars! The Second Plate,Manga,"Ecchi, School, Shounen"
770,Ouran High School Host Club,Manga,"Comedy, Harem, Romance, School, Shoujo"
8148,"No Game, No Life",Light novel,"Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy"
9742,Death Parade,Original,"Game, Mystery, Psychological, Drama, Thriller"
9844,Beyond the Boundary:I'll Be Here - Future,Light novel,"Fantasy, Slice of Life, Supernatural"
7036,The Pet Girl of Sakurasou,Light novel,"Slice of Life, Comedy, Drama, Romance, School"
1379,Black Lagoon:The Second Barrage,Manga,"Action, Seinen"
100,Fullmetal Alchemist,Manga,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
16377,Ascendance of a Bookworm Part 2,Light novel,"Slice of Life, Fantasy"
734,Dragon Ball Z,Manga,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
208,Cardcaptor Sakura,Manga,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
10677,KonoSuba:God's Blessing on This Wonderful World!,Light novel,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural"
4636,Angel Beats!,Original,"Action, Comedy, Drama, School, Supernatural"
1299,Lupin III:The Castle of Cagliostro,Manga,"Action, Adventure, Comedy, Mystery, Seinen"
11609,The Ancient Magus' Bride:Those Awaiting a Star,Manga,"Slice of Life, Magic, Fantasy, Shounen"
13266,Food Wars! The Third Plate,Manga,"Ecchi, School, Shounen"
9211,Assassination Classroom,Manga,"Action, Comedy, School, Shounen"
7491,The Wind Rises,Manga,"Drama, Historical, Romance"
8888,Terror in Resonance,Original,"Mystery, Psychological, Thriller"
8484,When Marnie Was There,Novel,"Mystery, Psychological, Drama"
12796,The Ancient Magus' Bride,Manga,"Slice of Life, Magic, Fantasy, Shounen"
213,Eureka Seven,Original,"Adventure, Drama, Mecha, Romance, Sci-Fi"
13964,Food Wars! The Third Plate:Totsuki Train Arc,Manga,"Ecchi, School, Shounen"
7502,The World God Only Knows:Goddesses,Manga,"Harem, Comedy, Supernatural, Romance, Shounen"
7140,Magi:The Labyrinth of Magic,Manga,"Action, Adventure, Fantasy, Magic, Shounen"
7179,My Teen Romantic Comedy SNAFU,Light novel,"Slice of Life, Comedy, Drama, Romance, School"
14252,That Time I Got Reincarnated as a Slime,Light novel,"Fantasy, Shounen"
1984,Clannad,Visual novel,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
1854,Lovely Complex,Manga,"Comedy, Romance, Shoujo"
15674,That Time I Got Reincarnated as a Slime Season 2,Light novel,"Comedy, Fantasy"
4885,Maid Sama!,Manga,"Comedy, Romance, School, Shoujo"
3874,Black Lagoon:Roberta's Blood Trail,Manga,"Action, Seinen"
1344,D.Gray-man,Manga,"Action, Adventure, Comedy, Super Power, Demons, Shounen"
7521,The Garden of Words,Original,"Slice of Life, Psychological, Drama, Romance"
804,Black Lagoon,Manga,"Action, Seinen"
7167,Kamisama Kiss,Manga,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
14573,The King's Avatar 2,Novel,"Action, Game"
15618,Ascendance of a Bookworm,Light novel,"Slice of Life, Fantasy"
4429,Kimi ni Todoke:From Me to You,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
5856,Kimi ni Todoke:From Me To You 2,Manga,"Slice of Life, Drama, Romance, School, Shoujo"
8292,Noragami:Stray God,Manga,"Action, Adventure, Comedy, Supernatural, Shounen"
13268,The Rising of the Shield Hero,Light novel,"Action, Adventure, Drama, Fantasy"
7624,Log Horizon,Light novel,"Action, Game, Adventure, Magic, Fantasy"
11434,The Saga of Tanya the Evil,Light novel,"Action, Military, Magic"
12164,The King's Avatar,Novel,"Action, Game"
389,Porco Rosso,Manga,"Action, Military, Adventure, Comedy, Historical, Drama, Romance"
12421,Code Geass:Lelouch of the Re;surrection,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha"
6491,Sekai Ichi Hatsukoi - World's Greatest First Love 2,Manga,"Comedy, Drama, Romance, Shounen Ai"
9756,My Love Story!!,Manga,"Comedy, Romance, Shoujo"
10169,Overlord,Light novel,"Action, Adventure, Fantasy, Game, Magic, Supernatural"
14420,Overlord III,Light novel,"Action, Magic, Fantasy, Game, Supernatural"
14,School Rumble,Manga,"Comedy, Romance, School, Shounen"
5124,The Secret World of Arrietty,Novel,Fantasy
6059,The World God Only Knows II,Manga,"Comedy, Harem, Romance, Shounen, Supernatural"
5802,Beelzebub,Manga,"Action, Comedy, Demons, Supernatural, School, Shounen"
10,Naruto,Manga,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
2646,Ponyo,Original,"Adventure, Fantasy"
509,Vampire Hunter D:Bloodlust,Light novel,"Action, Sci-Fi, Horror, Drama, Romance, Vampire, Fantasy"
9011,The Seven Deadly Sins,Manga,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural"
3155,Soul Eater,Manga,"Action, Fantasy, Comedy, Supernatural, Shounen"
13097,Classroom of the Elite,Light novel,"Slice of Life, Psychological, Drama, School"
6033,From Up on Poppy Hill,Manga,"Historical, Romance, School, Shoujo"
3835,Junjo Romantica 2,Manga,"Comedy, Drama, Romance, Shounen Ai"
225,InuYasha,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
12915,School Babysitters,Manga,"Comedy, School, Shoujo, Slice of Life"
7323,The Devil is a Part-Timer!,Light novel,"Comedy, Demons, Supernatural, Romance, Fantasy"
15688,Somali and the Forest Spirit,Web manga,"Adventure, Slice of Life, Demons, Drama, Fantasy"
4737,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Original,"Action, Military, Super Power, Mecha"
1427,Ghost Hunt,Light novel,"Mystery, Comedy, Horror, Supernatural, Shoujo"
8646,Tokyo Ghoul,Manga,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
423,InuYasha the Movie 3:Swords of an Honorable Ruler,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
245,Bleach,Manga,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
560,The Cat Returns,Other,"Adventure, Drama, Fantasy"
5979,Sekai Ichi Hatsukoi - World's Greatest First Love,Manga,"Comedy, Drama, Romance, Shounen Ai"
10363,Snow White with the Red Hair,Manga,"Fantasy, Romance, Drama, Shoujo"
12803,Overlord II,Light novel,"Action, Game, Adventure, Supernatural, Magic, Fantasy"
1654,Claymore,Manga,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen"
16453,Fire Force Season 2,Manga,"Action, Supernatural, Shounen"
7829,Beyond the Boundary,Light novel,"Slice of Life, Supernatural, Fantasy"
7170,"Love, Chunibyo & Other Delusions!",Light novel,"Slice of Life, Comedy, Drama, Romance, School"
9921,Charlotte,Original,"Drama, School, Super Power"
9370,Junjo Romantica 3,Manga,"Comedy, Drama, Romance, Shounen Ai"
15883,Food Wars! The Fourth Plate,Manga,"Ecchi, School, Shounen"
11463,Poco's Udon World,Manga,"Slice of Life, Fantasy, Seinen"
3873,Black Butler,Manga,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen"
8339,Seitokai Yakuindomo*,4-koma manga,"Slice of Life, Comedy, School, Shounen"
9897,GATE,Light novel,"Action, Adventure, Fantasy, Military"
7001,Good Luck Girl!,Manga,"Comedy, Parody, Shounen, Supernatural"
9257,Beyond the Boundary:I'll Be Here - Past,Light novel,"Action, Supernatural, Fantasy"
5415,The World God Only Knows,Manga,"Comedy, Harem, Romance, Shounen, Supernatural"
4171,PandoraHearts,Manga,"Adventure, Fantasy, Mystery, Shounen, Supernatural"
4510,A Certain Scientific Railgun,Manga,"Action, Sci-Fi, Super Power"
7223,The World God Only Knows:Tenri Arc,Manga,"Comedy, Harem, Romance, Supernatural, Shounen"
10435,Prison School,Manga,"Comedy, Ecchi, Romance, School, Seinen"
4839,Wagnaria!!,4-koma manga,"Comedy, Romance, Seinen, Slice of Life"
159,The Vision of Escaflowne,Original,"Adventure, Psychological, Romance, Fantasy, Mecha"
15428,Welcome to Demon School! Iruma-kun,Manga,"Comedy, Demons, Supernatural, Fantasy, School, Shounen"
99,Fruits Basket,Manga,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
15046,Fire Force,Manga,"Action, Supernatural, Shounen"
