Name,Prediction,Genres,Source,anime_id,Sypnopsis,Episodes,Japanese name,Studios,Premiered,Score,Type
Black Lagoon,0.86428446,"Action, Seinen",Manga,889,"hin Thailand is Roanapur, a depraved, crime-ridden city where not even the authorities or churches are untouched by the claws of corruption. A haven for convicts and degenerates alike, the city is notorious for being the center of illegal activities and operations, often fueled by local crime syndicates. Enter Rokurou Okajima, an average Japanese businessman who has been living a dull and monotonous life, when he finally gets his chance for a change of pace with a delivery trip to Southeast Asia. His business trip swiftly goes downhill as Rokurou is captured by a mercenary group operating in Roanapur, called Black Lagoon. The group plans to use him as a bargaining chip in negotiations which ultimately failed. Now abandoned and betrayed by his former employer, Rokurou decides to join Black Lagoon. In order to survive, he must quickly adapt to his new environment and prepare himself for the bloodshed and tribulation to come. A non-stop, high-octane thriller, Black Lagoon delves into the depths of human morality and virtue. Witness Rokurou struggling to keep his values and philosophies intact as he slowly transforms from businessman to ruthless mercenary.",12,BLACK LAGOON,Madhouse,Spring 2006,8.05,TV
Overlord II,0.7878269,"Action, Game, Adventure, Supernatural, Magic, Fantasy",Light novel,35073,"z Ooal Gown, the undead sorcerer formerly known as Momonga, has accepted his place in this new world. Though it bears similarities to his beloved virtual reality game Yggdrasil, it still holds many mysteries which he intends to uncover, by utilizing his power as ruler of the Great Tomb of Nazarick. However, ever since the disastrous brainwashing of one of his subordinates, Ainz has become wary of the impending dangers of the Slane Theocracy, as well as the possible existence of other former Yggdrasil players. Meanwhile, Albedo, Demiurge and the rest of Ainz's loyal guardians set out to prepare for the next step in their campaign: Nazarick's first war… Overlord II picks up immediately after its prequel, continuing the story of Ainz Ooal Gown, his eclectic army of human-hating guardians, and the many hapless humans affected by the Overlord's arrival.",13,オーバーロードⅡ,Madhouse,Winter 2018,7.78,TV
Hime-chan no Ribbon,0.77410465,"Comedy, Fantasy, Magic, Romance, School, Shoujo",Manga,2037,"Erika, the princess of the Magic Kingdom has come to Earth in order to find a human girl who looks just like her. That girl turns out to be Himeko Nonohara, a tomboy's tomboy. Erika must give Himeko a magical item she has created in order to prove her worth as a successor to the crown. Himeko must test this item, a hair ribbon that allows her to transform into any other person she sees, to see if it is worthy. The series follows Himeko's adventures and her budding romance with Daichi, the boy who discovers her secret. (Source: ANN)",61,姫ちゃんのリボン,Gallop,Fall 1992,7.44,TV
Galaxy Angel Z,0.765864,"Sci-Fi, Comedy",Original,652,"In the far future, the human race advanced to space, and prospered. However, Jikushin ( earthquake of time and space ) which occurred suddenly intercepted all networks, and all the civilizations were reset. However, the human race begins to revive, and enters the prosperity age of The Second by the Transvaal imperial country which rises at the center of the galactic system. The science and technology before the civilization was reset, that is, ""Lost Technology"" was considered to be god`s task. And, it came to be worshiped by the priest who was called ""Tsuki no miko"". On the other hand, a certain guard fleet was stationed in the frontier of the galactic system. Though it was the seemingly perfectly ordinary army, the team composed only of the woman called ""Angel Corps"" existed in this army. They controlled the spaceship which was called ""Angel Frame"" which was the relic of Lost Technology. And, they collected the lost technology by using the angel frame, and carried out the duties to manage them. They were not the elite pilots, but Angel Corps was rather an eccentric person`s group. Arms mania`s Forte, costume player`s Mint, taciturn Vanilla, showy Ranpha and Milfeulle who likes cooking ... Every time, they cause a big trouble in the mission. (Source: AniDB)",9,ギャラクシーエンジェルＺ,Madhouse,Winter 2002,7.18,TV
Jungle wa Itsumo Hare nochi Guu,0.738539,"Slice of Life, Comedy, School",Manga,253,"Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle. (Source: ANN)",26,ジャングルはいつもハレのちグゥ,Shin-Ei Animation,Spring 2001,7.84,TV
25-sai no Joshikousei,0.723373,"Ecchi, Romance, School",Web manga,36840,"Once most students are done with high school, they leave and never come back. However, at 25 years old, Hana Natori finds herself in the role of a student once more at her aunt's request. Since Hana's cousin, Kaho Miyoshi, refuses to go to school, her aunt begs Hana to take Kaho's place, since the two of them are practically identical. But as luck would have it, she is recognized by Okito Kanie—an old classmate from her days in high school—who is now a teacher! With her cover blown, Hana assumes Kanie will expose her secret. But when he suddenly kisses her, she soon learns he has other ideas.",12,25歳の女子高生,Lilix,Winter 2018,5.54,TV
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",0.7136108,"Action, Adventure, Fantasy, Military",Light novel,28907,"Off-duty Japan Self-Defense Forces (JSDF) officer and otaku, Youji Itami, is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts towards stopping the invasion. Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.",12,GATE（ゲート）自衛隊　彼の地にて、斯く戦えり,A-1 Pictures,Summer 2015,7.74,TV
Koukaku Kidoutai: Shin Movie,0.71116245,"Action, Sci-Fi, Police, Psychological, Mecha",Manga,27411,"In the year 2027, a year following the end of the non-nuclear World War IV, a bomb has gone off in Newport City, killing a major arms dealer who may have ties with the mysterious 501 Organization. Public Security official Daisuke Aramaki hires full-body cyber prosthesis user and hacker extraordinaire, Motoko Kusanagi, to investigate. (Source: Wikipedia)",1,攻殻機動隊 新劇場版,Production I.G,,7.48,Movie
Dragon Ball Z Movie 14: Kami to Kami,0.70733523,"Action, Adventure, Super Power, Martial Arts, Fantasy, Shounen",Manga,14837,"Following the defeat of a great adversary, Gokuu Son and his friends live peaceful lives on Earth. Meanwhile, in space, Beerus the God of Destruction awakens from his long slumber, having dreamed of an entity known as a Super Saiyan God. With the help of his assistant, Whis, Beerus looks for this powerful being, as he wishes to fight a worthy opponent. After discovering that the Saiyan home planet was destroyed, he tracks down the remaining Saiyans on Earth, looking for Gokuu specifically. Having only heard of the Super Saiyan God in legends, Gokuu and his comrades summon Shen Long the Eternal Dragon, who they find out is afraid of Beerus. After learning the secret of the Super Saiyan God, an intense battle between Gokuu and Beerus commences, the immense power of which puts the Earth in terrible danger.",1,ドラゴンボールZ 神と神,Toei Animation,,7.41,Movie
Esper Mami,0.7052971,"Comedy, Ecchi, Magic, School, Super Power, Supernatural",Manga,3023,"ami Sakura used to be a normal junior high school student, but she happened to acquire supernatural powers. Using her powers and with the help of her best friend, Mr. Takahata, she solves mysterious occurrences. When she senses someone needs help, she uses the ""Teleportation Gun"" and transports herself there. She then saves the world in trouble with her psychic powers, such as telekinesis and telepathy. (Source: Wikipedia)",119,エスパー魔美,Shin-Ei Animation,Spring 1987,6.46,TV
