,eng_version,Source,Genres
3,Witch Hunter Robin,Original,"Action, Mystery, Police, Supernatural, Drama, Magic"
9,Monster,Manga,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
10,Naruto,Manga,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
17,Trinity Blood,Light novel,"Action, Supernatural, Vampire"
26,Rurouni Kenshin: Meiji Kenkaku Romantan,Manga,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen"
40,Chobits,Manga,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
42,D.N.Angel,Manga,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo"
45,Rozen Maiden,Manga,"Action, Comedy, Drama, Magic, Seinen"
46,Rozen Maiden: Träumend,Manga,"Action, Comedy, Drama, Magic, Seinen"
85,Hana yori Dango,Manga,"Drama, Romance, School, Shoujo"
99,Fruits Basket,Manga,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
100,Fullmetal Alchemist,Manga,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
101,Full Moon wo Sagashite,Manga,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
111,GetBackers,Manga,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
120,Kamikaze Kaitou Jeanne,Manga,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
128,Blood+,Original,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
139,Peace Maker Kurogane,Manga,"Action, Comedy, Historical, Samurai, Shounen"
142,Mononoke Hime,Original,"Action, Adventure, Fantasy"
144,Samurai 7,Other,"Historical, Mecha, Samurai, Sci-Fi"
145,Scrapped Princess,Light novel,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen"
175,Speed Grapher,Original,"Action, Mystery, Super Power"
176,Sen to Chihiro no Kamikakushi,Original,"Adventure, Supernatural, Drama"
179,Wolf's Rain,Original,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
182,Samurai Champloo,Original,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
202,Elfen Lied,Manga,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
204,Jigoku Shoujo,Original,"Mystery, Horror, Psychological, Supernatural"
208,Cardcaptor Sakura,Manga,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
225,InuYasha,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
246,Hellsing,Manga,"Action, Horror, Supernatural, Vampire, Seinen"
273,Grenadier: Hohoemi no Senshi,Manga,"Action, Ecchi, Adventure, Comedy, Shounen"
298,Paradise Kiss,Manga,"Comedy, Drama, Josei, Romance, Slice of Life"
299,Mousou Dairinin,Original,"Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller"
332,Fate/stay night,Visual novel,"Action, Supernatural, Magic, Romance, Fantasy"
345,Boogiepop wa Warawanai,Light novel,"Psychological, Supernatural, Dementia, Mystery, Drama, Horror"
360,Gantz,Manga,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi"
361,Gilgamesh,Manga,"Drama, Fantasy, Sci-Fi, Supernatural"
371,Gantz 2nd Stage,Manga,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi"
377,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Manga,"Romance, Samurai, Historical, Drama, Shounen"
381,Blood: The Last Vampire,Original,"Horror, Supernatural, Vampire"
383,Tantei Gakuen Q,Manga,"Comedy, Drama, Mystery, Police, Shounen"
400,Kaleido Star,Original,"Comedy, Sports, Drama, Fantasy, Shoujo"
403,Fullmetal Alchemist: The Conqueror of Shamballa,Manga,"Military, Comedy, Historical, Drama, Fantasy, Shounen"
404,Howl no Ugoku Shiro,Novel,"Adventure, Drama, Fantasy, Romance"
414,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Manga,"Adventure, Comedy, Historical, Supernatural, Drama, Shounen"
421,InuYasha Movie 4: Guren no Houraijima,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
422,InuYasha Movie 2: Kagami no Naka no Mugenjo,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
423,InuYasha Movie 3: Tenka Hadou no Ken,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
424,InuYasha Movie 1: Toki wo Koeru Omoi,Manga,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
430,One Piece Movie 1,Manga,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen"
435,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,Manga,"Adventure, Comedy, Fantasy, Shounen"
479,Majo no Takkyuubin,Novel,"Adventure, Comedy, Drama, Magic, Romance, Fantasy"
480,Tenkuu no Shiro Laputa,Original,"Adventure, Fantasy, Romance, Sci-Fi"
490,Tonari no Totoro,Original,"Adventure, Comedy, Supernatural"
497,Bishoujo Senshi Sailor Moon,Manga,"Demons, Magic, Romance, Shoujo"
499,Bishoujo Senshi Sailor Moon S,Manga,"Drama, Magic, Romance, Shoujo"
509,Vampire Hunter D (2000),Light novel,"Action, Sci-Fi, Horror, Drama, Romance, Vampire, Fantasy"
517,Digimon Adventure,Other,"Action, Adventure, Comedy, Fantasy, Kids"
537,Kaze no Tani no Nausicaä,Manga,"Adventure, Fantasy"
542,Hotaru no Haka,Novel,"Drama, Historical"
557,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Manga,"Action, Adventure, Comedy, Shounen, Super Power"
560,Neko no Ongaeshi,Other,"Adventure, Drama, Fantasy"
710,Detective Conan Movie 02: The Fourteenth Target,Manga,"Adventure, Mystery, Comedy, Police, Shounen"
711,Detective Conan Movie 03: The Last Wizard of the Century,Manga,"Adventure, Mystery, Comedy, Police, Shounen"
718,Ergo Proxy,Original,"Psychological, Mystery, Sci-Fi"
770,Ouran Koukou Host Club,Manga,"Comedy, Harem, Romance, School, Shoujo"
778,xxxHOLiC,Manga,"Comedy, Drama, Mystery, Psychological, Supernatural"
789,Digimon Tamers,Original,"Adventure, Comedy, Drama, Fantasy, Shounen"
799,Shin Angyo Onshi,Manga,"Action, Fantasy"
846,Higurashi no Naku Koro ni,Visual novel,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller"
848,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Manga,"Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural"
853,Nishi no Yoki Majo: Astraea Testament,Light novel,"Mystery, Comedy, Drama, Romance, Fantasy"
901,Bishoujo Senshi Sailor Moon: Sailor Stars,Manga,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo"
902,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Manga,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, Shoujo"
918,Le Chevalier D'Eon,Original,"Historical, Magic, Mystery, Seinen, Supernatural"
928,Wolf's Rain OVA,Original,"Sci-Fi, Adventure, Psychological, Supernatural, Drama"
